lngCouncil,calCouncil,Address,City,State,Zip,Zip5
15996,St. John Paul II Council 15996,6301 Cedarcrest Road, Acworth,GA,30101,30101
3607,Msgr. Daniel J. Bourke Council 3607,421 Edgewood Lane, Albany,GA,31707-3909,31707
6532,St. Thomas Aquinas Council 6532,535 Rucker Road, Alpharetta,GA,30004-4048,30004
7113,Americus Council 7113,332 South Lee Street, Americus,GA,31709-3916,31709
6514,Deacon William P. Lakin Council 6514,958 Epps Bridge Parkway, Athens,GA,30606,30606
17969,The Georgia Martyrs at the University of Georgia 17969,1344 South Lumpkin Street, Athens,GA,30605,30605
660,Atlanta Council 660,2699 Peachtree Road NE, Atlanta,GA,30305,30305
6517,Msgr. John D. Stapleton Council 6517,4465 Northside Drive NW, Atlanta,GA,30327-3600,30327
14496,Georgia Tech Council 14496,172 4th Street NW, Atlanta,GA,30313-2506,30313
15848,Basilica of the Sacred Heart Council 15848,353 Peachtree Street NE, Atlanta,GA,30308-6800,30308
16513,St. Jude the Apostle Council 16513,7171 Glenridge Drive NE, Atlanta,GA,30328,30328
677,Patrick Walsh Council 677,1501 Monte Sano Avenue, Augusta,GA,30904-5322,30904
5484,John F. Kennedy Council 5484,720 Telfair Street, Augusta,GA,30901,30901
13437,St. Joseph the Worker Council 13437,2607 Lumpkin Road, Augusta,GA,30906-3222,30906
11746,St. Francis of Assisi Council 11746,3717 Highway 515 East, Blairsville,GA,30512-3822,30512
12126,Blue Ridge Council 12126,967 E Main Street, Blue Ridge,GA,30513,30513
15161,Deacon Mike J. O'Brien Council 15161,1350 Hearst Drive, Brookhaven,GA,30319,30319
1939,Henry T. Ross Council 1939,4299 US Highway 17 North, Brunswick,GA,31521-0269,31521
9339,St. Clements Council 9339,875 Highway 53 West SW, Calhoun,GA,30701,30701
12826,Etowah Council 12826,2941 Sam Nelson Road, Canton,GA,30114-5312,30114
8731,Msgr. Michael J. Regan Council 8731,210 Old Center Point Road, Carrollton,GA,30117-6821,30117
11461,St. Francis of Assisi Council 11461,850 Douthit Ferry Road, Cartersville,GA,30120-6481,30120
16534,St. Bernadette Council 16534,100 Evergreen Lane, Cedartown,GA,30125,30125
10355,Holy Cross Council 10355,3175 Hathaway Court, Chamblee,GA,30341-4640,30341
13491,St. Mark Council 13491,5410 Highway 197 South, Clarkesville,GA,30523-6512,30523
13376,St. Helena Council 13376,137 Meadow Stream Lane, Clayton,GA,30525,30525
11676,St. Paul Council 11676,1243 Hulsey Road, Cleveland,GA,30528,30528
1019,Bishop Gross Council 1019,3502 Kay Circle, Columbus,GA,31907,31907
10004,Fr. Charles J. Kerscher Council 10004,2621 Highway 20 SE, Conyers,GA,30013-2424,30013
11340,Virgin Mary Council 11340,11524 Highway 278 East, Covington,GA,30014,30014
12942,St. Brendan Council 12942,4633 Shiloh Road, Cumming,GA,30040,30040
13161,Good Shepherd Council 13161,3740 Holtzclaw Road, Cumming,GA,30041-3502,30041
12287,Fr. Vincent Mulvin Council 12287,680 West Memorial Drive, Dallas,GA,30132-4123,30132
7662,St. Joseph Council 7662,968 Haig Mill Lake Road, Dalton,GA,30720,30720
15238,Blessed Mother Mary Council 15238,991 Kilough Church Road, Dawsonville,GA,30534-8941,30534
4358,Fr. Thomas O'Reilly Council 4358,636 West Ponce de Leon Avenue, Decatur,GA,30030,30030
15716,St. Paul Council 15716,4178 Highway 441 South, Douglas,GA,31535-5732,31535
10821,St. John Paul II Council 10821,4401 Prestley Mill Road, Douglasville,GA,30154,30154
11637,Immaculate Conception Council 11637,American Legion Hall 2503 Moore Station Road, Dublin,GA,31021,31021
12883,St. Monica Council 12883,1700 Buford Highway, Duluth,GA,30097-2814,30097
11402,All Saints Council 11402,2443 Mount Vernon Road, Dunwoody,GA,30338,30338
14181,Good Samaritan Council 14181,55 Church Street, Ellijay,GA,30540-3300,30540
11458,Archbishop James P. Lyke Council 11458,135 Antioch Road, Fayetteville,GA,30215,30215
13457,Prince of Peace Council 13457,6439 Spout Springs Road, Flowery Branch,GA,30542,30542
7416,St. Gerard Majella Council 7416,3049 Lafayette Road, Fort Oglethorpe,GA,30742,30742
14773,St. Michael the Archangel Council 14773,Fort Gordon,,GA,30905,30905
14713,Fr. Emil Kapaun Council 14713,Fort Benning,,GA,31905,31905
6920,Msgr. Edward J. Dodwell Council 6920,1440 Pearce Circle, Gainesville,GA,30501-2457,30501
17245,St. John Paul II Council 17245,2410 S Smith Road SW, Gainesville,GA,30501,30501
13808,Pope John Paul II Council 13808,6341 Lake Oconee Parkway, Greensboro,GA,30642-3824,30642
12321,McGonagle Council 12321,1323 MacArthur Drive, Griffin,GA,30224-0000,30224
8495,Terence Cardinal Cooke Council 8495,4921 Columbia Road, Grovetown,GA,30813-5237,30813
4420,Immaculate Heart of Mary Council 4420,230 Arnold Street, Hapeville,GA,30354,30354
9915,Hartwell Council 9915,1009 Benson Street, Hartwell,GA,30643-4536,30643
10210,Franciscan Martyrs of Georgia Council 10210,339 Woodland Drive, Hinesville,GA,31313,31313
12984,Danny McMichael Council 12984,359 Old Griffin Road, Jackson,GA,30233,30233
14348,Our Lady of the Mountains Council 14348,1908 Waleska Highway 108, Jasper,GA,30143-7038,30143
15212,Fr. William Calhoun Council 15212,180 Elrod Road, Jefferson,GA,30543,30543
10633,St. Benedict Council 10633,11045 Parsons Road, Johns Creek,GA,30097-1769,30097
13204,St. Brigid Council 13204,3400 Old Alabama Road, Johns Creek,GA,30022,30022
6352,Tara Council 6352,481 Flint River Road, Jonesboro,GA,30238-3411,30238
14488,Fr. Michael A. Burke Council 14488,GA Highway 127, Kathleen,GA,31041,31041
9923,St. Catherine of Siena Council 9923,1618 Ben King Road NW, Kennesaw,GA,30144,30144
16356,St. Francis of Assisi Council 16356,NSB Kings Bay Chapel, Kings Bay,GA,31547,31547
9515,St. Peter Council 9515,200 Lafayette Parkway, LaGrange,GA,30241-3248,30241
12905,St. Marguerite D' Youville Council 12905,85 Gloster Road, Lawrenceville,GA,30044,30044
13052,St. Lawrence Council 13052,319 Grayson Highway, Lawrenceville,GA,30045-7176,30045
7923,Archbishop Thomas A. Donnellan Council 7923,801 Smith Road SW, Lilburn,GA,30047,30047
14122,St. Stephen the Martyr Council 14122,5373 Wydella Road, Lilburn,GA,30047-6353,30047
12580,St. John Vianney Council 12580,1920 Skyview Drive, Lithia Springs,GA,30122-2344,30122
14350,St. Thomas Council 14350,4561 Rosebud Road, Loganville,GA,30052-4610,30052
14625,Lumen Christi Council 14625,587 Landers Drive SW, Mableton,GA,30126-2353,30126
925,Msgr. Thomas I. Sheehan Council 925,830 Poplar Street, Macon,GA,31208-5669,31208
16870,Fr. Peter Whalen Council 16870,562 Vine Street, Madison,GA,30650,30650
4599,St. Joseph Council 4599,87 Lacy Street NW, Marietta,GA,30060,30060
8376,Our Lady of LaSalette Council 8376,4905 Roswell Road, Marietta,GA,30062-6518,30062
9792,Holy Family Council 9792,3401 Lower Roswell Road, Marietta,GA,30068,30068
10362,Transfiguration Council 10362,1815 Blackwell Road, Marietta,GA,30066-2911,30066
7601,Holy Trinity Council 7601,1000 GA 155 N, McDonough,GA,30252,30252
9458,Fr. Robert Kennedy Council 9458,110 North Jefferson Street, Milledgeville,GA,31601-3416,31601
14425,St. Anna Council 14425,1401 Alcovy Street, Monroe,GA,30655,30655
6622,St. George Council 6622,771 Roscoe Road, Newnan,GA,30263-4718,30263
12862,Sharpsburg Council 12862,3 Village Road, Newnan,GA,30265-3369,30265
12000,Fr. Ken W Bayer MSFS Memorial Council 12000,2140 Beaver Ruin Road, Norcross,GA,30071-3338,30071
14944,Mary Our Queen Council 14944,6260 The Corners Parkway, Norcross,GA,30092-3308,30092
8081,Holy Trinity Council 8081,101 Walt Banks Road, Peachtree City,GA,30269,30269
17214,Servant of God Fr. Capodanno Council 17214,6700 GA Highway 354, Pine Mountain,GA,31822,31822
15305,Our Lady of Lourdes Council 15305,501 South Costal Highway, Port Wentworth,GA,31407,31407
10866,St. Anne Council 10866,10550 Ford Avenue (Highway 144), Richmond Hill,GA,31324,31324
4410,Fr. James H. Grady Council 4410,911 North Broad Street, Rome,GA,30162,30162
10632,St. Andrew Council 10632,675 Riverside Road, Roswell,GA,30075-5009,30075
13217,St. Peter Chanel Council 13217,11330 Woodstock Road, Roswell,GA,30075-2548,30075
631,Savannah Council 631,3 West Liberty Street, Savannah,GA,31404-3905,31404
5588,Holy Family Council 5588,700 Christopher Drive, Savannah,GA,31416-0355,31416
10274,St. Benedict the Moor Council 10274,556 East Gordon Street, Savannah,GA,31401-5010,31401
10579,Islands Council 10579,7020 Concord Road, Savannah,GA,31410,31410
10687,Queen of Peace Council 10687,1707 Bull Street, Savannah,GA,31401,31401
12386,St. Thomas the Apostle Council 12386,4300 King Springs Road, Smyrna,GA,30082,30082
13440,St. Oliver Plunkett Council 13440,3200 Brooks Drive, Snellville,GA,30078,30078
14439,St. Boniface Council 14439,1952 GA Highway 21 South, Springfield,GA,31329-5207,31329
11058,St. Marys Council 11058,106 Dillingham Street, St. Marys,GA,31558-8460,31558
14275,St. Matthew Council 14275,221 John Paul II Avenue, Statesboro,GA,30458-5073,30458
10497,Corpus Christi Council 10497,600 Mountain View Drive, Stone Mountain,GA,30083-3546,30083
12948,Our Lady of Grace at the Grotto Council 12948,3594 Barnesville Highway, Thomaston,GA,30286-1504,30286
7366,Pope John Paul I Council 7366,211 North Pinetree Boulevard, Thomasville,GA,31792-3973,31792
6918,Fr. Larry Endrizzi Council 6918,1326 Washington Road, Thomson,GA,30824,30824
10541,"Fr. Frederick G. Kirchner, OFM Council 10541",1205 Love Avenue, Tifton,GA,31794-4028,31794
9975,Joseph M. Malik Council 9975,231 Rothell Road Ext, Toccoa,GA,30577,30577
8972,Mother Teresa Council 8972,215 Kirkley Road, Tyrone,GA,30290-1504,30290
4913,Fr. John Kennedy Council 4913,306 North St. Augustine Road, Valdosta,GA,31601-4230,31601
8568,Fr. Clem Borchers Council 8568,3119 E North Street, Vidalia,GA,30474-8735,30474
4371,Msgr. Felix Donnelly Council 4371,133 South Commercial Circle, Warner Robins,GA,31088-4615,31088
9942,Fr. Hillman Council 9942,2084 Riverside Avenue, Waycross,GA,31501-7056,31501
13229,St. Matthew Council 13229,25 Wilkins Road, Winder,GA,30680-3878,30680
11768,St. Michael the Archangel Council 11768,490 Arnold Mill Road, Woodstock,GA,30188-2848,30188
